,ECO Code,ECO Name,Number of Master Games,Number of f6 moves,SF Eval,No f6 Eval,No f6 Delta,Colour
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 exd5 5. Nf3 Nc6 6. g3 Nf6 7. Bg2 Bg4,D33,Tarrasch Defense: Wagner Variation,43,0,71,85,,
1. e4 e5 2. c4,C20,English Opening: The Whale,43,0,-45,-39,,
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 cxd4 6. axb4 dxc3 7. Nf3,C17,"French Defense: Winawer Variation, Advance Variation",42,0,72,104,,
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Bc5 5. O-O d6 6. c3 Bg4,C44,"Scotch Game: Scotch Gambit, Cochrane-Anderssen Variation",42,0,-33,-28,,
1. c4 e6 2. Nc3 Nf6 3. e4 Nc6,A18,English Opening: Mikenas-Carls Variation,42,0,84,90,,
1. d4 d5 2. c4 dxc4 3. Nf3 Nf6 4. e3 e6 5. Bxc4 c5 6. O-O a6 7. Qe2 b5 8. Bb3 Bb7 9. Rd1 Nbd7 10. Nc3 Bd6,D29,"Queen's Gambit Accepted: Classical Defense, Alekhine System, Smyslov Variation",42,0,2,40,,
1. d4 d5 2. e4 dxe4 3. Nc3 c5,D00,Blackmar-Diemer Gambit: Reversed Albin Countergambit,42,0,21,17,,
1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Nc6 6. Bg5 dxc4 7. d5 Na5,B13,"Caro-Kann Defense: Panov-Botvinnik, Herzog Defense",42,0,5,16,,
1. e4 c6 2. d4 d5 3. e5 Bf5 4. c3 e6 5. Be2,B12,"Caro-Kann Defense: Advance, Short Variation",42,1,25,29,,
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 O-O 5. e3 d6 6. Be2 c6,E60,"King's Indian Defense: Semi-Classical Variation, Benoni Variation",41,0,56,56,,
1. e4 e5 2. f4 Nf6,C30,King's Gambit Declined: Petrov's Defense,41,0,23,33,,
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3 c5 6. Nf3 b6 7. O-O Bb7 8. Na4 Qe7,E43,Nimzo-Indian Defense: St. Petersburg Variation,41,0,43,60,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 d6,C56,Italian Game: Scotch Invitation Declined,41,0,48,50,,
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. d4,C25,"Vienna Gambit, with Max Lange Defense: Pierce Gambit",41,0,-154,-102,,
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nb5 d6 6. c4 Nf6 7. N1c3 a6 8. Na3 d5,B44,"Sicilian Defense: Taimanov Variation, Gary Gambit",41,0,30,45,,
1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nc3,B00,"Nimzowitsch Defense: Kennedy Variation, Keres Attack",41,0,56,84,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. d4 Bd7 5. Nc3 Nf6 6. Bxc6,C62,"Ruy Lopez: Steinitz Defense, Nimzowitsch Attack",41,0,110,127,,
1. e4 g5,B00,Borg Defense,41,0,195,200,,
1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. a4,B02,"Alekhine Defense: Two Pawns Attack, Tate Variation",41,0,18,26,,
1. e4 e6 2. d4 a6 3. c4,C00,"French Defense: St. George Defense, Three Pawn Attack",40,0,19,28,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 Be7 6. Qe2 Nd6 7. Bxc6 bxc6 8. dxe5 Nb7 9. c4,C67,"Ruy Lopez: Berlin Defense, Zukertort Variation",40,0,34,58,,
1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. Nc4,C40,Latvian Gambit Accepted: Foltys-Leonhardt Variation,40,0,154,139,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d4,C50,Italian Game: Rosentreter Gambit,40,0,-23,-19,,
1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5 g6 5. h4,A83,"Dutch Defense: Staunton Gambit, Alekhine Variation",40,0,-12,-8,,
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Nde2,B56,Sicilian Defense: Spielmann Variation,39,0,-19,-16,,
1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 Bg7 5. O-O,C38,King's Gambit Accepted: Hanstein Gambit,39,0,-134,-139,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Bc5 6. d4 exd4 7. O-O d6 8. cxd4 Bb6,C51,"Italian Game: Evans Gambit, McDonnell Defense, Main Line",39,0,33,51,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6,C89,"Ruy Lopez: Marshall Attack, Original Marshall Attack",39,0,45,58,,
1. e4 e5 2. d4 exd4 3. Bc4,C21,Center Game: von der Lasa Gambit,39,0,-32,-28,,
1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 e6,D00,Blackmar-Diemer Gambit Accepted: Euwe Defense,39,0,-36,-27,,
1. g4 d5 2. h3 e5 3. Bg2 c6,A00,Grob Opening: Keene Defense,39,0,-121,-88,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. O-O Nxe4 6. Re1 d5 7. Bxd5 Qxd5 8. Nc3 Qa5 9. Nxe4 Be6 10. Bd2 Qd5 11. Bg5,C56,"Italian Game: Scotch Gambit, Anderssen Attack, Main Line",39,0,-14,-10,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 b5 7. Bb3 d5 8. dxe5 Be6 9. c3 Be7 10. Nbd2 O-O 11. Qe2,C83,"Ruy Lopez: Open, Malkin Variation",38,0,0,24,,
1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. f4 Nc6,B00,"Nimzowitsch Defense: Kennedy Variation, Riemann Defense",38,0,72,81,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Bc5,C51,"Italian Game: Evans Gambit, McDonnell Defense",38,0,34,33,,
1. e4 e6 2. d4 d5 3. Nd2 f5,C03,"French Defense: Tarrasch Variation, Haberditz Variation",38,0,105,115,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 f5 4. exf5,C63,"Ruy Lopez: Schliemann Defense, Jaenisch Gambit Accepted",38,0,-41,-44,,
1. c4 g5,A10,English Opening: Myers Defense,37,0,135,152,,
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 Bg4 8. Be3 Nfd7 9. Qb3 c5,D99,"GrÃ¼nfeld Defense: Russian Variation, Yugoslav Variation",37,0,61,84,,
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c5 5. Bg5,D40,"Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation",37,0,-13,-19,,
1. e4 c5 2. Nf3 a6 3. c3 b5,B28,"Sicilian Defense: O'Kelly Variation, Venice System, Ljubojevic Line",37,0,79,85,,
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 O-O 8. Qd2 Nc6 9. Bc4 a5,B77,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Byrne Variation",37,0,112,119,,
1. e4 c6 2. d4 d5 3. Nd2 Qb6,B12,Caro-Kann Defense: Edinburgh Variation,37,0,84,89,,
1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. O-O gxf3 6. Qxf3 Qf6,C37,"King's Gambit Accepted: Muzio Gambit, Sarratt Defense",37,0,-129,-102,,
1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4,A82,"Dutch Defense: Staunton Gambit, Tartakower Variation",36,0,-52,-57,,
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. h4 g4 6. Ng5,C25,"Vienna Gambit, with Max Lange Defense: Hamppe-Allgaier Gambit",36,0,-124,-128,,
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 e5 7. d5 Nh5 8. Qd2 Qh4+ 9. g3 Nxg3 10. Qf2 Nxf1 11. Qxh4 Nxe3 12. Ke2,E87,"King's Indian Defense: SÃ¤misch Variation, Bronstein Defense",36,0,63,67,,
1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. Nc4 fxe4 5. Nc3,C40,Latvian Gambit Accepted: Leonhardt Variation,36,0,143,146,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d4 exd4 6. Qxd4 Qxd4 7. Nxd4 Bd6,C68,"Ruy Lopez: Exchange Variation, Alekhine Variation",36,0,-10,3,,
1. d4 d5 2. c4 Nf6 3. cxd5 c6,D06,"Queen's Gambit Declined: Marshall Defense, Tan Gambit",36,0,61,73,,
1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. Nf3 Be7 5. Bg5 O-O 6. e3 Nbd7 7. Rc1 c6 8. a3 a6 9. Qc2,D64,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Attack",35,0,12,17,,
1. e4 c5 2. Nf3 a6 3. b4,B28,"Sicilian Defense: O'Kelly Variation, Wing Gambit",35,0,-35,-36,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 e4,C89,"Ruy Lopez: Marshall Attack, Steiner Variation",35,0,142,156,,
1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. Bb5 Nd4 5. Nxe5 Qe7 6. f4,C48,"Four Knights Game: Spanish Variation, Rubinstein Variation",35,0,-53,-45,,
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 exd5 5. e4,D32,Tarrasch Defense: Marshall Gambit,35,0,0,7,,
1. f4 Nh6,A02,Bird Opening: Horsefly Defense,35,0,-7,-2,,
1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. Bg5 Be7 5. e3 O-O 6. Nf3 Nbd7 7. Rc1 b6 8. cxd5 exd5 9. Bd3,D63,"Queen's Gambit Declined: Orthodox Defense, Pillsbury Variation",34,0,32,41,,
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Bb4 5. e5 h6 6. exf6 hxg5 7. fxg7 Rg8 8. h4 gxh4 9. Qg4,C12,"French Defense: MacCutcheon Variation, Grigoriev Variation",34,0,0,9,,
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Be3 e5 7. d5 Nh5 8. Qd2 Qh4+ 9. g3 Nxg3 10. Qf2 Nxf1 11. Qxh4 Nxe3 12. Ke2 Nxc4,E87,"King's Indian Defense: SÃ¤misch Variation, Orthodox Variation, Bronstein Variation",34,0,59,92,,
1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. b3,A38,"English Opening: Symmetrical Variation, Double Fianchetto",34,0,-22,-18,,
1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. f4 Ng6,B00,"Nimzowitsch Defense: Kennedy Variation, Main Line",34,0,79,114,,
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 a6 5. Bxc6,C48,"Four Knights Game: Spanish Variation, Ranken Variation",34,0,41,69,,
1. e4 c5 2. b4 cxb4 3. a3 d5 4. exd5 Qxd5 5. Bb2,B20,"Sicilian Defense: Wing Gambit, Marienbad Variation",34,0,-59,-58,,
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. Bxe7 Qxe7 7. Qg4,C14,"French Defense: Classical Variation, Pollock Variation",34,1,1,30,,
1. Nf3 c5 2. e3 g6 3. d4 Bg7 4. dxc5 Qa5+,A04,Colle System: Rhamphorhynchus Variation,34,0,7,0,,
1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. h3 Bg7 8. Nf3 O-O 9. Be2 Nc6 10. O-O Bf5 11. Bf4,B03,"Alekhine Defense: Exchange Variation, Karpov Variation",34,0,31,51,,
1. d4 g6 2. c4 Bg7 3. Nc3 c5 4. d5 Bxc3+ 5. bxc3 Qa5,A40,"Pterodactyl Defense: Fianchetto, Queen Pteranodon",33,0,100,120,,
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bb5,C44,Scotch Game: Relfsson Gambit,33,0,-52,-11,,
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. O-O O-O 7. d5 exd5 8. Nd4,E17,"Queen's Indian Defense: Classical Variation, Taimanov Gambit",33,0,9,21,,
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Nc3 b5 6. Bd3 Qb6 7. Be3 Bc5 8. Qg4,B43,"Sicilian Defense: Kan Variation, Wing Attack, Christiansen's Dream",33,0,-14,-8,,
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. b4,B01,"Scandinavian Defense: Main Line, Leonhardt Gambit",33,0,-16,0,,
1. e4 c5 2. Nf3 a6 3. Be2,B28,"Sicilian Defense: O'Kelly Variation, Aronin System",33,0,39,33,,
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Bc4 c6 6. Nge2 Bf5 7. Bf4 Qb4,B01,"Scandinavian Defense: Schiller-Pytel Variation, Modern Variation",33,0,57,53,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 Na5 6. Bb5+ c6 7. dxc6 bxc6 8. Qf3 cxb5,C58,"Italian Game: Two Knights Defense, Blackburne Variation",32,0,-23,-11,,
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. Bxe7 Qxe7 7. f4 O-O 8. Nf3 c5 9. Qd2 Nc6 10. O-O-O c4,C14,"French Defense: Classical Variation, Stahlberg Variation",32,0,56,119,,
1. e4 e5 2. Nf3 d6 3. d4 Bg4 4. dxe5 Nd7,C41,Philidor Defense: Albin-Blackburne Gambit,32,0,119,132,,
1. d4 Nf6 2. c4 e5 3. dxe5 Ne4 4. a3 b6,A51,"Indian Defense: Budapest Defense, Fajarowicz Defense, Bonsdorf Variation",32,0,135,157,,
1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6 5. Bc4 e6 6. Nf3 d6 7. O-O a6 8. Qe2 b5 9. Bb3 Ra7,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Chicago Defense",32,0,157,199,,
1. d4 Nf6 2. c4 e5 3. dxe5 Ne4 4. Qc2,A51,"Indian Defense: Budapest Defense, Fajarowicz-Steiner Variation",32,0,81,78,,
1. d4 Nf6 2. Nf3 e6 3. Bg5 c5 4. e4,A46,Torre Attack: Wagner Gambit,31,0,-24,-14,,
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 Nf6,C42,"Petrov's Defense: Classical Attack, Closed Variation",31,0,51,62,,
1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6 5. Nf3 g6,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense",31,0,4,16,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4 5. c3 Ba5 6. O-O,C52,"Italian Game: Evans Gambit, Slow Variation",31,0,-46,-43,,
1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 h6 5. d4 g5 6. h4 Bg7,C34,King's Gambit Accepted: Greco Gambit,31,0,-67,-69,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 Na5 9. Bc2 c5 10. d4 Qc7 11. a4,C88,"Ruy Lopez: Closed, Balla Variation",31,0,64,60,,
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 exd5 5. Nf3 Nc6 6. dxc5 d4 7. Na4 b5,D32,Tarrasch Defense: GrÃ¼nfeld Gambit,31,0,147,152,,
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Ba6 5. b3 Bb4+ 6. Bd2 Qe7,E15,"Queen's Indian Defense: Fianchetto Variation, Check Variation, Modern Line",31,0,52,48,,
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 exd5 5. Nf3 Nc6 6. g3 Nf6 7. Bg2 Be7 8. O-O O-O 9. Bg5 cxd4 10. Nxd4 h6 11. Be3 Re8 12. Rc1 Be6,D34,"Tarrasch Defense: Classical Variation, Chandler Variation",31,0,64,68,,
1. d4 Nf6 2. g4,A45,Indian Defense: Gibbins-Weidenhagen Gambit,30,0,-77,-69,,
1. c4 e5 2. Nc3 d6 3. g3 c6,A21,"English Opening: King's English Variation, Keres Defense",30,0,46,43,,
1. b4 e6 2. Bb2 Nf6 3. b5 a6,A00,Polish Opening: Queenside Defense,30,0,-12,-5,,
1. e4 e6 2. d4 d5 3. Be3,C00,French Defense: Alapin Gambit,30,0,-48,-47,,
1. e4 e5 2. f4 exf4 3. Bc4 c6,C33,"King's Gambit Accepted: Bishop's Gambit, Lopez Defense",30,0,-53,-47,,
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Nbd7 5. e3 c6 6. Nf3 Qa5 7. Nd2 Bb4 8. Qc2 O-O 9. Bh4,D52,"Queen's Gambit Declined: Cambridge Springs Defense, Argentine Variation",30,0,18,18,,
1. e4 c5 2. b4 cxb4 3. a3 d5 4. exd5 Qxd5 5. Nf3 e5 6. c4 Qe6 7. Bd3,B20,"Sicilian Defense: Wing Gambit, Nanu Gambit",30,0,-33,-27,,
1. d4 e5 2. e3,A40,Englund Gambit Declined: Reversed French,30,0,21,25,,
1. d4 Nf6 2. c4 e6 3. Nf3 Ne4,E10,Indian Defense: DÃ¶ry Indian,29,0,55,65,,
1. d4 d5 2. e4 dxe4 3. Nc3 e5,D00,Blackmar-Diemer Gambit: Lemberger Countergambit,29,0,-11,-11,,
1. e4 d6 2. d4 f5,A82,Rat Defense: Balogh Defense,29,0,122,119,,
1. e4 e5 2. Nf3 f5 3. d4,C40,Latvian Gambit: Mason Countergambit,29,0,49,57,,
1. e4 e5 2. Nf3 f5 3. exf5,C40,Latvian Gambit Accepted,29,0,126,145,,
1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6 5. Bc4 e6 6. Nf3 d6 7. O-O a6 8. Qe2 b5,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Sozin Formation",29,0,43,42,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. d3 Bc5 5. Be3,C65,"Ruy Lopez: Berlin Defense, Kaufmann Variation",29,0,-16,-16,,
1. e4 e5 2. Nf3 Nc6 3. c3 d5 4. Bb5 dxe4 5. Nxe5 Qd5 6. Qa4,C44,"Ponziani Opening: Spanish Variation, Harrwitz Attack, Nikitin Gambit",29,0,-59,0,,
1. e4 e6 2. d4 d5 3. Nc3 Nc6 4. exd5,C10,"French Defense: Classical Variation, Svenonius Variation",28,0,19,26,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Nxe4 5. Bxf7+,C47,"Four Knights Game: Italian Variation, Noa Gambit",28,0,-161,-153,,
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 e6 5. e3 Nbd7 6. Bd3 dxc4 7. Bxc4 b5 8. Bd3 a6 9. e4 c5 10. e5 cxd4 11. Nxb5 Nxe5 12. Nxe5 axb5 13. O-O Qd5 14. Qe2 Ba6 15. Bg5,D49,"Semi-Slav Defense: Meran Variation, Rellstab Attack",28,0,5,-6,,
1. d4 d5 2. c4 e6 3. Nf3 c6 4. Nc3 dxc4 5. a4 Bb4 6. e3 b5 7. Bd2 Qb6,D31,"Queen's Gambit Declined: Semi-Slav, Junge Variation",28,0,49,47,,
1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 cxd4 5. cxd4 Nc6 6. Nf3 Bg4 7. Nc3 Bxf3 8. gxf3 Qxd4 9. Qxd4 Nxd4,B22,"Sicilian Defense: Alapin Variation, Barmen Defense, Endgame Variation",28,0,48,42,,
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4 Qh4+ 5. Ke2 d6,C25,"Vienna Gambit, with Max Lange Defense: Steinitz Gambit, Paulsen Defense",28,0,-19,-7,,
1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. d4 Qh4+ 5. Ke2 b6,C25,"Vienna Gambit, with Max Lange Defense: Steinitz Gambit, Fraser-Minckwitz Defense",28,0,-61,-52,,
1. b4 e5 2. Bb2 f6 3. b5,A00,Polish Opening: Bugayev Advance Variation,28,0,-23,-18,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Qe7 5. d4 Bb6 6. Bg5,C53,"Italian Game: Classical Variation, Mestel Variation",28,1,96,99,,
1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 Nc6 5. Nf3 e6 6. Bc4 Qc7 7. Qe2 Nf6 8. O-O Ng4,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Siberian Variation, Siberian Trap",28,0,28,69,,
1. d4 Nf6 2. f4,A45,Canard Opening,28,0,-57,-47,,
1. c4 f5 2. e4,A10,"English Opening: Anglo-Dutch Defense, Hickmann Gambit",28,0,-26,-17,,
1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 Bf5,D00,Blackmar-Diemer Gambit Declined: Vienna Defense,28,0,-60,-53,,
1. d4 Nf6 2. c4 e6 3. Nc3 c5 4. Nf3 d5 5. cxd5 exd5 6. g3 Nc6 7. Bg2 Be7 8. O-O O-O 9. Bg5 Be6 10. Rc1 c4,D34,"Tarrasch Defense: Classical Variation, Bogoljubow Variation",28,0,26,28,,
1. e4 c5 2. d4 cxd4 3. c3 dxc3 4. Nxc3 e6 5. Bc4 a6 6. Nf3 Ne7,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Taimanov Formation",28,0,-14,15,,
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Nf6 6. Ndb5 Bb4 7. Nd6+,B45,"Sicilian Defense: Taimanov Variation, American Attack",27,0,-12,8,,
1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Bb4+ 6. Bd2 Bxd2+ 7. Qxd2 O-O 8. Nc3 Ne4 9. Qc2 Nxc3 10. Ng5,E11,Bogo-Indian Defense: Monticelli Trap,27,0,42,50,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5 5. Nxf7,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",27,0,28,76,,
1. e4 e5 2. f4 exf4 3. Nf3 g5 4. d4 g4 5. Bxf4,C37,"King's Gambit Accepted: Rosentreter Gambit, Testa Variation",27,0,-137,-52,,
1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. cxd5 exd5 5. Bg5 Be7 6. e3 O-O 7. Bd3 Nbd7 8. Qc2 Re8 9. Nge2 Nf8 10. O-O-O,D35,"Queen's Gambit Declined: Exchange Variation, Chameleon Variation",27,0,-25,-19,,
1. e4 e5 2. Nf3 d6 3. d4 Nf6 4. Nc3 Nbd7 5. Bc4 Be7 6. Bxf7+,C41,"Philidor Defense: Lion Variation, Bishop Sacrifice",27,0,-140,-151,,
1. d4 Nf6 2. f3 d5 3. Nc3,A45,"Queen's Pawn Game: Veresov, Richter Attack",27,0,-72,-61,,
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Nf3 Bg4 6. Qe2,C29,"Vienna Game: Vienna Gambit, Kaufmann Variation",27,0,28,30,,
1. d4 Nf6 2. Nf3 g6 3. e3 Bg7 4. Bd3 d6,A48,"Indian Defense: Colle System, King's Indian Variation",27,0,16,22,,
1. g3 h5,A00,Lasker Simul Special,27,0,42,39,,
1. e4 d5 2. exd5 c6,B01,Scandinavian Defense: Blackburne-Kloosterboer Gambit,27,0,79,113,,
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 Bf5 6. e3 Na6,D18,"Slav Defense: Czech Variation, Lasker Variation",27,0,80,84,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 Qe7,C60,Ruy Lopez: Vinogradov Variation,26,0,122,129,,
1. Nh3,A00,Amar Opening,26,0,-59,-65,,
1. e4 Nc6 2. Nc3 g6,B00,Nimzowitsch Defense: Pirc Connection,26,0,93,94,,
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4 exd4 5. Nd5 Nxe4 6. Qe2 f5,C47,"Four Knights Game: Scotch Variation, Belgrade Gambit, Modern Defense",26,0,-27,-29,,
1. d4 Nf6 2. Nc3 d5 3. Bg5 Ne4,D01,Richter-Veresov Attack: Boyce Defense,26,0,72,80,,
1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 g6 6. Bc4 Bg7 7. O-O O-O 8. Qe1,D00,"Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Studier Attack",26,0,-122,-105,,
1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 c6,D00,Blackmar-Diemer Gambit Accepted: Ziegler Defense,26,0,-67,-63,,
1. e4 e5 2. Nc3 Nf6 3. g3 d5 4. exd5 c6,C26,"Vienna Game: Mieses Variation, Erben Gambit",26,0,16,20,,
1. d4 Nf6 2. Nf3 g6 3. c4 Bg7 4. Nc3 O-O 5. e3 d6 6. Be2 Nc6,E60,"King's Indian Defense: Semi-Classical Variation, Hollywood Variation",26,0,38,40,,
1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4 Bg7 5. Bc4,B09,"Pirc Defense: Austrian Attack, Ljubojevic Variation",26,0,11,13,,
1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 Bf5,C32,"King's Gambit Declined: Falkbeer Countergambit, Charousek Gambit, Main Line",26,0,45,87,,
1. b4 d5 2. Bb2 Bf5,A00,Polish Opening: Baltic Defense,25,0,-16,-18,,
1. h3 d5 2. a3 e5,A00,Creepy Crawly Formation: Classical Defense,25,0,-45,-49,,
1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4,A00,Van Geet Opening: Novosibirsk Variation,25,0,-63,-62,,
1. e4 e5 2. Nf3 Nc6 3. Bc4 h6,C50,Italian Game: Anti-Fried Liver Defense,25,0,62,65,,
1. d4 d5 2. Bf4 c5 3. dxc5,D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit Accepted",25,0,-11,2,,
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 Be7 6. Qe2 Nd6 7. Bxc6 bxc6 8. dxe5 Nb7 9. b3,C67,"Ruy Lopez: Berlin Defense, Pillsbury Variation",25,0,27,35,,
